player_id,player_name,season,week,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0029738,D.Fells,2020,2,BAL,2,4,23.0,1,0.0,0.0,31.0,9.0,2.0,-0.43524027161765844,0,10.3,8.3
00-0029738,D.Fells,2020,3,PIT,0,2,0.0,0,0.0,0.0,16.0,0.0,0.0,-1.7001969130942598,0,0.0,0.0
00-0029738,D.Fells,2020,4,MIN,2,2,21.0,0,0.0,0.0,16.0,5.0,1.0,1.3418789017014205,0,4.1,2.1
00-0029738,D.Fells,2020,5,JAX,2,2,57.0,1,0.0,0.0,28.0,29.0,2.0,5.3430650513619184,0,13.7,11.7
00-0029738,D.Fells,2020,6,TEN,6,7,85.0,1,0.0,0.0,51.0,46.0,4.0,6.337241225875914,0,20.5,14.5
00-0029738,D.Fells,2020,9,JAX,2,2,26.0,0,0.0,0.0,1.0,25.0,1.0,1.7211221377365291,0,4.6,2.6
00-0029738,D.Fells,2020,10,CLE,1,1,15.0,0,0.0,0.0,0.0,15.0,1.0,1.095513064879924,0,2.5,1.5
00-0029738,D.Fells,2020,11,NE,2,2,29.0,0,0.0,0.0,19.0,10.0,2.0,3.1077240272425115,0,4.9,2.9000000000000004
00-0029738,D.Fells,2020,13,IND,0,1,0.0,0,0.0,0.0,5.0,0.0,0.0,-0.5699849831871688,0,0.0,0.0
00-0029738,D.Fells,2020,14,CHI,1,1,15.0,0,0.0,0.0,1.0,14.0,1.0,3.2304148414405063,0,2.5,1.5
00-0029738,D.Fells,2020,16,CIN,1,2,22.0,1,0.0,0.0,25.0,11.0,1.0,2.3497111074393615,0,9.2,8.2
00-0030061,Z.Ertz,2020,1,WAS,3,7,18.0,1,0.0,0.0,57.0,4.0,2.0,-1.4717749893316068,0,10.8,7.8
00-0030061,Z.Ertz,2020,2,LA,5,7,42.0,0,0.0,0.0,58.0,8.0,2.0,0.42144963098689914,0,9.2,4.2
00-0030061,Z.Ertz,2020,3,CIN,7,10,70.0,0,0.0,0.0,111.0,8.0,4.0,0.9846039031629443,0,14.0,7.0
00-0030061,Z.Ertz,2020,4,SF,4,5,9.0,0,0.0,0.0,5.0,12.0,0.0,-2.808428634190932,1,6.9,2.9
00-0030061,Z.Ertz,2020,5,PIT,1,6,6.0,0,0.0,0.0,38.0,2.0,1.0,-5.4845208498009015,0,1.6,0.6000000000000001
00-0030061,Z.Ertz,2020,6,BAL,4,10,33.0,0,0.0,0.0,67.0,2.0,1.0,-2.203089679707773,0,7.300000000000001,3.3000000000000003
00-0030061,Z.Ertz,2020,13,GB,2,4,31.0,0,0.0,0.0,36.0,8.0,2.0,1.5249377897707745,0,5.1,3.1
00-0030061,Z.Ertz,2020,14,NO,2,3,8.0,0,0.0,0.0,19.0,-1.0,0.0,-1.7348867930887883,0,2.8,0.8
00-0030061,Z.Ertz,2020,15,ARI,2,7,69.0,0,0.0,0.0,78.0,24.0,2.0,0.6745726698427461,0,8.9,6.9
00-0030061,Z.Ertz,2020,16,DAL,3,7,33.0,0,0.0,0.0,38.0,15.0,1.0,-2.898671275586821,0,6.300000000000001,3.3000000000000003
00-0030061,Z.Ertz,2020,17,WAS,3,6,16.0,0,0.0,0.0,29.0,6.0,1.0,-6.269354754942469,0,4.6,1.6
00-0030089,L.Willson,2020,12,PIT,0,2,0.0,0,0.0,0.0,3.0,0.0,0.0,-4.803096602787264,0,0.0,0.0
00-0030089,L.Willson,2020,13,DAL,1,1,12.0,0,0.0,0.0,10.0,2.0,0.0,0.11088288342580199,0,2.2,1.2000000000000002
00-0030108,R.Griffin,2020,3,IND,0,2,0.0,0,0.0,0.0,24.0,0.0,0.0,-2.107703609392047,0,0.0,0.0
00-0030108,R.Griffin,2020,4,DEN,3,3,10.0,0,0.0,0.0,3.0,7.0,0.0,-0.42195107328007,0,4.0,1.0
00-0030108,R.Griffin,2020,6,MIA,2,3,17.0,0,0.0,0.0,17.0,2.0,1.0,0.7696975620347075,0,3.7,1.7000000000000002
00-0030108,R.Griffin,2020,9,NE,2,2,28.0,0,0.0,0.0,13.0,15.0,1.0,1.3218002575449646,0,4.800000000000001,2.8000000000000003
00-0030108,R.Griffin,2020,13,LV,2,2,31.0,0,0.0,0.0,6.0,25.0,2.0,2.6970741350378376,0,5.1,3.1
