player_id,player_name,season,week,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,fantasy_points_ppr,fantasy_points
00-0023682,R.Fitzpatrick,2020,2,BUF,31,47,328.0,2,0.0,3.0,17.0,313.0,121.0,20.0,6.303971286985263,1,24.32,24.32
00-0023682,R.Fitzpatrick,2020,3,JAX,18,20,160.0,2,0.0,1.0,4.0,144.0,46.0,9.0,8.724537255708128,0,25.2,24.2
00-0023682,R.Fitzpatrick,2020,4,SEA,29,45,315.0,0,2.0,1.0,3.0,341.0,140.0,17.0,2.58733356057816,1,21.3,21.3
00-0023682,R.Fitzpatrick,2020,5,SF,22,28,350.0,3,0.0,2.0,8.0,276.0,141.0,12.0,23.528558837597604,0,27.6,27.6
00-0023682,R.Fitzpatrick,2020,6,NYJ,18,27,191.0,3,2.0,2.0,8.0,211.0,115.0,11.0,-5.229991034584081,0,16.04,16.04
00-0023682,R.Fitzpatrick,2020,11,DEN,12,18,117.0,0,1.0,0.0,-0.0,124.0,47.0,6.0,1.401720464695245,0,3.28,3.28
00-0023682,R.Fitzpatrick,2020,12,NYJ,24,39,257.0,2,0.0,4.0,16.0,275.0,104.0,14.0,6.076912168736261,0,19.28,19.28
00-0023682,R.Fitzpatrick,2020,16,LV,9,13,182.0,1,0.0,0.0,-0.0,145.0,82.0,6.0,11.621786750466027,0,11.280000000000001,11.280000000000001
00-0026143,M.Ryan,2020,1,SEA,37,54,450.0,2,1.0,2.0,16.0,524.0,106.0,23.0,7.040836281449664,0,23.9,23.9
00-0026143,M.Ryan,2020,2,DAL,24,36,273.0,4,0.0,1.0,6.0,339.0,105.0,15.0,15.127194348911132,0,28.520000000000003,28.520000000000003
00-0026143,M.Ryan,2020,3,CHI,19,38,238.0,1,1.0,2.0,11.0,423.0,77.0,13.0,-7.075526643390473,0,11.42,11.42
00-0026143,M.Ryan,2020,4,GB,28,39,285.0,0,0.0,4.0,36.0,369.0,111.0,15.0,1.501592851890568,0,12.4,12.4
00-0026143,M.Ryan,2020,5,CAR,21,37,226.0,0,1.0,2.0,19.0,284.0,84.0,11.0,-3.743479599043882,0,6.940000000000001,6.940000000000001
00-0026143,M.Ryan,2020,6,MIN,30,40,371.0,4,0.0,2.0,8.0,270.0,171.0,17.0,30.441584786368804,0,31.64,31.64
00-0026143,M.Ryan,2020,7,DET,31,42,338.0,1,0.0,2.0,16.0,283.0,103.0,19.0,9.681920824048575,1,17.52,17.52
00-0026143,M.Ryan,2020,8,CAR,21,30,281.0,0,1.0,2.0,11.0,258.0,90.0,14.0,9.874131270620563,0,17.94,17.94
00-0026143,M.Ryan,2020,9,DEN,25,35,284.0,3,1.0,2.0,13.0,336.0,89.0,15.0,10.975825201604604,0,22.36,22.36
00-0026143,M.Ryan,2020,11,NO,19,37,232.0,0,2.0,8.0,36.0,401.0,52.0,10.0,-15.592276839794469,0,5.279999999999999,5.279999999999999
00-0026143,M.Ryan,2020,12,LV,22,39,185.0,2,1.0,1.0,6.0,221.0,100.0,13.0,-3.425318270724054,0,13.9,13.9
00-0026143,M.Ryan,2020,13,NO,19,39,273.0,1,0.0,3.0,11.0,453.0,56.0,12.0,-10.739482896245645,0,12.92,12.92
00-0026143,M.Ryan,2020,14,LAC,21,32,224.0,1,3.0,2.0,14.0,290.0,109.0,10.0,-3.432955057754455,0,7.260000000000001,7.260000000000001
00-0026143,M.Ryan,2020,15,TB,34,49,356.0,3,0.0,3.0,24.0,431.0,119.0,21.0,4.467199796257029,0,27.840000000000003,27.840000000000003
00-0026143,M.Ryan,2020,16,KC,27,35,300.0,2,0.0,4.0,23.0,233.0,145.0,17.0,10.79883654407502,0,19.9,19.9
00-0026143,M.Ryan,2020,17,TB,29,44,265.0,2,0.0,1.0,7.0,227.0,125.0,17.0,12.510810213981035,0,22.700000000000003,22.700000000000003
00-0026158,J.Flacco,2020,4,DEN,2,2,16.0,0,0.0,0.0,-0.0,8.0,8.0,0.0,-0.9474121164530516,0,0.64,0.64
00-0026158,J.Flacco,2020,5,ARI,18,33,195.0,1,0.0,2.0,17.0,322.0,95.0,8.0,-2.6866600353494,0,13.8,13.8
00-0026158,J.Flacco,2020,6,MIA,21,44,186.0,0,1.0,3.0,38.0,396.0,98.0,7.0,-18.157491156133574,0,5.44,5.44
00-0026158,J.Flacco,2020,9,NE,18,25,262.0,3,1.0,1.0,5.0,315.0,97.0,12.0,14.237413250667466,0,20.48,20.48
00-0026158,J.Flacco,2020,11,LAC,15,30,205.0,2,1.0,1.0,9.0,384.0,44.0,9.0,-1.6109421370201744,0,14.399999999999999,14.399999999999999
00-0026197,C.Henne,2020,7,DEN,2,2,13.0,0,0.0,1.0,3.0,2.0,11.0,1.0,2.153087710525142,0,6.32,6.32
00-0026197,C.Henne,2020,8,NYJ,3,4,17.0,0,0.0,0.0,-0.0,9.0,8.0,1.0,-1.1292892421479337,0,0.68,0.68
00-0026197,C.Henne,2020,17,LAC,23,32,218.0,2,0.0,1.0,1.0,147.0,181.0,13.0,12.932485629164148,0,16.72,16.72
00-0026197,C.Henne,2020,19,CLE,6,8,66.0,0,1.0,1.0,6.0,79.0,30.0,4.0,0.004440992865760052,0,1.8400000000000003,1.8400000000000003
00-0026498,M.Stafford,2020,1,CHI,24,42,297.0,1,1.0,1.0,9.0,372.0,129.0,14.0,2.0176983728598192,0,16.18,16.18
00-0026498,M.Stafford,2020,2,GB,20,33,244.0,2,1.0,4.0,26.0,257.0,138.0,10.0,-6.024837624194333,0,16.159999999999997,16.159999999999997
00-0026498,M.Stafford,2020,3,ARI,22,31,270.0,2,0.0,4.0,38.0,220.0,151.0,16.0,6.25321579899879,0,18.5,18.5
00-0026498,M.Stafford,2020,4,NO,17,31,206.0,3,1.0,3.0,15.0,325.0,75.0,12.0,1.1307040440151468,1,22.340000000000003,22.340000000000003
00-0026498,M.Stafford,2020,6,JAX,19,31,223.0,1,1.0,0.0,-0.0,269.0,94.0,9.0,4.148875021445445,0,12.32,12.32
00-0026498,M.Stafford,2020,7,ATL,25,36,340.0,1,0.0,2.0,18.0,337.0,80.0,15.0,12.411025617305283,0,18.400000000000002,18.400000000000002
00-0026498,M.Stafford,2020,8,IND,24,42,336.0,3,1.0,5.0,39.0,398.0,142.0,17.0,-6.965456368165313,0,22.439999999999998,22.439999999999998
00-0026498,M.Stafford,2020,9,MIN,23,32,211.0,1,2.0,2.0,13.0,176.0,122.0,13.0,-1.4414202929630258,0,8.44,8.44
00-0026498,M.Stafford,2020,10,WAS,24,33,276.0,3,0.0,1.0,9.0,218.0,149.0,12.0,11.171179909694516,0,23.04,23.04
00-0026498,M.Stafford,2020,11,CAR,18,33,178.0,0,0.0,5.0,33.0,192.0,93.0,9.0,-11.072866954207557,0,7.62,7.62
00-0026498,M.Stafford,2020,12,HOU,28,42,295.0,1,1.0,4.0,16.0,333.0,162.0,17.0,-1.5665514110404994,1,16.1,16.1
00-0026498,M.Stafford,2020,13,CHI,27,42,402.0,3,1.0,2.0,2.0,571.0,68.0,18.0,17.361822071688948,0,26.080000000000002,26.080000000000002
00-0026498,M.Stafford,2020,14,GB,24,34,244.0,1,0.0,4.0,31.0,196.0,147.0,16.0,5.3202782276785,0,14.36,14.36
00-0026498,M.Stafford,2020,15,TEN,22,32,252.0,1,0.0,0.0,-0.0,296.0,95.0,14.0,14.28698676873659,0,15.280000000000001,15.280000000000001
00-0026498,M.Stafford,2020,16,TB,2,3,17.0,0,0.0,0.0,-0.0,6.0,13.0,1.0,-1.2091841625515372,0,0.68,0.68
00-0026498,M.Stafford,2020,17,MIN,20,31,293.0,3,1.0,1.0,5.0,443.0,83.0,12.0,10.025429274523962,0,22.619999999999997,22.619999999999997
00-0026544,C.Daniel,2020,9,MIN,8,13,94.0,1,1.0,0.0,-0.0,97.0,45.0,6.0,-4.64188937670745,0,6.26,6.26
00-0026544,C.Daniel,2020,14,GB,3,6,29.0,0,0.0,0.0,-0.0,43.0,8.0,1.0,0.632610132717593,0,1.16,1.16
00-0026544,C.Daniel,2020,15,TEN,5,6,55.0,0,1.0,0.0,-0.0,57.0,17.0,4.0,1.568968683539424,0,1.3000000000000003,1.3000000000000003
00-0026544,C.Daniel,2020,16,TB,13,18,86.0,0,0.0,3.0,29.0,78.0,49.0,3.0,-12.516650951118208,0,3.44,3.44
00-0026625,B.Hoyer,2020,4,KC,15,24,130.0,0,1.0,2.0,18.0,196.0,56.0,8.0,-9.24764575094061,0,2.0,2.0
00-0027688,C.McCoy,2020,12,CIN,6,10,31.0,0,0.0,0.0,-0.0,84.0,1.0,2.0,-2.961303180551801,0,1.94,1.94
00-0027688,C.McCoy,2020,13,SEA,13,22,105.0,1,1.0,2.0,5.0,184.0,28.0,6.0,-7.652139377329574,1,8.399999999999999,8.399999999999999
00-0027688,C.McCoy,2020,14,ARI,2,3,18.0,0,0.0,2.0,12.0,32.0,13.0,1.0,-3.2574185107368976,0,-1.28,-1.28
00-0027688,C.McCoy,2020,15,CLE,19,31,221.0,0,0.0,1.0,7.0,290.0,85.0,10.0,4.206808327290419,0,9.14,9.14
00-0027939,C.Newton,2020,1,MIA,15,19,155.0,0,0.0,2.0,15.0,101.0,88.0,8.0,3.384856143326033,0,25.7,25.7
00-0027939,C.Newton,2020,2,SEA,30,44,397.0,1,1.0,1.0,-0.0,351.0,126.0,22.0,20.78954606894171,0,34.58,34.58
00-0027939,C.Newton,2020,3,LV,17,28,162.0,1,1.0,2.0,6.0,129.0,126.0,8.0,-4.461832656459475,0,11.18,11.18
00-0027939,C.Newton,2020,6,DEN,17,25,157.0,0,2.0,4.0,24.0,149.0,96.0,7.0,-12.756162824420791,0,18.48,17.48
00-0027939,C.Newton,2020,7,SF,9,15,98.0,0,3.0,1.0,8.0,169.0,21.0,6.0,-11.47794882098194,0,-0.17999999999999994,-0.17999999999999994
00-0027939,C.Newton,2020,8,BUF,15,25,174.0,0,0.0,2.0,13.0,143.0,92.0,8.0,2.2383832263377674,1,18.36,18.36
00-0027939,C.Newton,2020,9,NYJ,27,35,274.0,0,0.0,0.0,-0.0,281.0,106.0,13.0,13.972489409447974,0,24.560000000000002,24.560000000000002
00-0027939,C.Newton,2020,10,BAL,13,17,118.0,1,0.0,1.0,7.0,82.0,66.0,9.0,3.2596088556943283,0,16.82,16.82
00-0027939,C.Newton,2020,11,HOU,26,40,365.0,1,0.0,2.0,16.0,239.0,193.0,16.0,11.021342038920494,0,19.200000000000003,19.200000000000003
00-0027939,C.Newton,2020,12,ARI,9,18,84.0,0,2.0,3.0,15.0,105.0,49.0,4.0,-11.485203086284612,0,3.9600000000000004,3.9600000000000004
00-0027939,C.Newton,2020,13,LAC,12,19,69.0,1,0.0,1.0,4.0,116.0,33.0,5.0,-5.153495735838078,0,23.560000000000002,23.560000000000002
00-0027939,C.Newton,2020,14,LA,9,16,119.0,0,1.0,4.0,21.0,132.0,32.0,4.0,-17.41366359218151,0,4.359999999999999,4.359999999999999
00-0027939,C.Newton,2020,15,MIA,17,27,209.0,0,0.0,3.0,23.0,227.0,87.0,8.0,-0.5179200769454317,0,12.16,12.16
00-0027939,C.Newton,2020,16,BUF,5,10,34.0,0,0.0,2.0,20.0,90.0,15.0,1.0,-6.50437554535072,0,9.760000000000002,9.760000000000002
00-0027939,C.Newton,2020,17,NYJ,21,30,242.0,3,0.0,3.0,23.0,182.0,128.0,14.0,10.564337381685618,0,38.480000000000004,37.480000000000004
00-0027948,B.Gabbert,2020,6,GB,0,1,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.4783149277791381,0,0.2,0.2
00-0027948,B.Gabbert,2020,9,NO,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,-0.1,-0.1
00-0027948,B.Gabbert,2020,10,CAR,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
00-0027948,B.Gabbert,2020,16,DET,9,15,143.0,2,0.0,1.0,7.0,108.0,80.0,5.0,-0.11221064474241116,0,15.219999999999999,15.219999999999999
