player_id,player_name,season,week,opponent_team,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,fantasy_points_ppr,fantasy_points
00-0030456,G.Bernard,2020,2,CLE,1,3.0,0,0.0,0.0,1.0,0.9943214241648093,0,5,7,22.0,0,7.5,2.5
00-0030456,G.Bernard,2020,3,PHI,0,0.0,0,0.0,0.0,0.0,,0,3,3,55.0,0,8.5,5.5
00-0030456,G.Bernard,2020,4,JAX,2,19.0,0,0.0,0.0,2.0,1.1178644134197384,0,0,0,0.0,0,1.9000000000000001,1.9000000000000001
00-0030456,G.Bernard,2020,5,BAL,0,0.0,0,0.0,0.0,0.0,,0,1,2,4.0,0,1.4,0.4
00-0030456,G.Bernard,2020,6,IND,8,15.0,1,0.0,0.0,2.0,1.182597926701419,0,3,3,13.0,0,11.8,8.8
00-0030456,G.Bernard,2020,7,CLE,13,37.0,0,0.0,0.0,1.0,-3.4908429697388783,0,5,5,59.0,1,20.6,15.600000000000001
00-0030456,G.Bernard,2020,8,TEN,15,62.0,1,0.0,0.0,3.0,1.4958050040877424,0,3,4,16.0,1,22.8,19.8
00-0030456,G.Bernard,2020,10,PIT,8,30.0,0,0.0,0.0,1.0,-1.6137775129755028,0,4,7,17.0,0,8.7,4.7
00-0030456,G.Bernard,2020,11,WAS,9,18.0,0,0.0,0.0,1.0,-2.906143150641583,0,4,5,37.0,0,9.5,5.5
00-0030456,G.Bernard,2020,12,NYG,8,32.0,0,0.0,0.0,2.0,0.4552025387529284,0,2,3,17.0,0,6.9,4.9
00-0030456,G.Bernard,2020,13,MIA,12,30.0,0,0.0,0.0,3.0,-3.0104783530696295,0,2,2,-1.0,0,4.9,2.9000000000000004
00-0030456,G.Bernard,2020,14,DAL,3,8.0,0,1.0,1.0,0.0,-6.051904970430769,0,3,3,15.0,0,3.3000000000000003,0.30000000000000027
00-0030456,G.Bernard,2020,15,PIT,25,83.0,1,0.0,0.0,4.0,-4.395185749222655,0,1,1,14.0,1,22.700000000000003,21.700000000000003
00-0030456,G.Bernard,2020,16,HOU,16,65.0,0,0.0,0.0,3.0,-2.973740282759536,0,7,8,66.0,0,20.1,13.100000000000001
00-0030456,G.Bernard,2020,17,BAL,3,7.0,0,0.0,0.0,0.0,-1.0824934779666364,0,0,1,0.0,0,0.7000000000000001,0.7000000000000001
00-0030465,K.Barner,2020,4,LAC,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0
00-0030496,L.Bell,2020,1,BUF,6,14.0,0,0.0,0.0,1.0,-1.9626029850915074,0,2,2,32.0,0,6.6000000000000005,4.6000000000000005
00-0030496,L.Bell,2020,5,ARI,13,60.0,0,0.0,0.0,2.0,-4.820238648448139,0,1,1,7.0,0,7.7,6.7
00-0030496,L.Bell,2020,7,DEN,6,39.0,0,0.0,0.0,2.0,0.618323139147833,0,0,0,0.0,0,3.9000000000000004,3.9000000000000004
00-0030496,L.Bell,2020,8,NYJ,6,7.0,0,0.0,0.0,1.0,-7.252622480969876,0,3,3,31.0,0,6.800000000000001,3.8000000000000003
00-0030496,L.Bell,2020,9,CAR,4,8.0,0,0.0,0.0,0.0,-0.6306414927821606,0,1,1,-5.0,0,1.3,0.30000000000000004
00-0030496,L.Bell,2020,11,LV,7,25.0,1,0.0,0.0,2.0,-0.37813635694328696,0,1,1,11.0,0,10.6,9.6
