Rk,Player,Age,Team,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards,Year
31,Michael Palardy,30,NWE,P,8,0,42,1781,42.4,122,1559,36.3,58,5,11.9,10,23.8,1,2025
32,Jake Bailey,25,NWE,P,9,0,37,1557,42.1,157,1300,35.1,62,5,13.5,12,32.4,0,2025
33,Kevin Huber,37,CIN,P,9,0,31,1340,43.2,160,1160,37.4,63,1,3.2,9,29.0,0,2025
34,Drue Chrisman,25,CIN,P,7,0,28,1338,47.8,106,1192,42.6,65,2,7.1,13,46.4,0,2025
35,Brett Kern,36,PHI,P,4,0,10,408,40.8,42,366,36.6,53,0,0.0,1,10.0,0,2025
36,Jake Elliott,27,PHI,K,16,0,1,35,35.0,0,35,35.0,35,0,0.0,0,0.0,0,2025
1,Cameron Johnston,29,HOU,P,17,0,88,4108,46.7,355,3673,41.7,69,4,4.5,37,42.0,0,2025
2,Michael Dickson,25,SEA,P,17,0,83,3895,46.9,239,3456,41.6,68,10,12.0,40,48.2,0,2025
3,Blake Gillikin,23,NOR,P,17,0,83,3956,47.7,417,3449,41.6,63,4,4.8,29,34.9,0,2025
4,Jordan Berry,30,MIN,P,17,0,78,3624,46.5,343,3221,41.3,64,3,3.8,26,33.3,0,2025
5,Michael Palardy,29,MIA,P,17,0,78,3489,44.7,262,3147,40.3,65,5,6.4,31,39.7,0,2025
6,Riley Dixon,28,NYG,P,17,0,74,3283,44.4,237,2926,39.5,63,6,8.1,24,32.4,0,2025
7,Sam Koch,39,BAL,P,17,0,71,3149,44.4,228,2841,40.0,61,4,5.6,26,36.6,0,2025
8,Pressley Harvin III,23,PIT,P,15,0,70,2982,42.6,261,2661,38.0,64,3,4.3,25,35.7,0,2025
9,Sam Martin,31,DEN,P,17,0,67,3083,46.0,149,2869,42.8,68,3,4.5,28,41.8,0,2025
