Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
6,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,1.0,0.0,1.0,3.5,5,17,1.0,5.6,,HarrZa00
7,0.0,3.0,2.0,66.7,11.0,5.5,3.7,0,72.9,0.3,6.0,5.0,0.0,4.0,3.0,0.0,4.0,11,17,3.0,15.0,,HuntDa01
4,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,17,4.0,19.0,,JenkJo00
8,0.0,0.0,0.0,,0.0,,,0,,,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5,17,4.0,19.0,,KinlJa00
1,0.0,2.0,2.0,100.0,11.0,5.5,5.5,0,89.6,-0.5,-1.0,12.0,0.0,2.0,1.0,0.0,1.0,4,17,0.0,0.0,,KoonMa00
7,2.0,6.0,5.0,83.3,23.0,4.6,3.8,1,82.6,-1.8,-4.0,27.0,11.0,4.0,7.0,0.0,2.5,14,17,4.0,19.0,,LatuLa00
1,0.0,11.0,8.0,72.7,45.0,5.6,4.1,0,79.7,1.6,14.0,31.0,6.0,0.0,0.0,0.0,0.0,0,17,2.0,10.5,,MartKe03
0,0.0,4.0,3.0,75.0,34.0,11.3,8.5,0,100.0,3.5,11.0,23.0,5.0,0.0,0.0,0.0,0.0,0,17,2.0,10.5,,McCrMa01
1,0.0,4.0,2.0,50.0,18.0,9.0,4.5,0,62.5,4.5,-1.0,19.0,7.0,0.0,0.0,0.0,0.0,0,17,0.0,0.0,,MillVe00
2,0.0,3.0,3.0,100.0,7.0,2.3,2.3,0,79.2,-2.7,-8.0,15.0,9.0,6.0,1.0,0.0,5.0,14,17,1.0,5.6,,NwosUc00
6,0.0,2.0,1.0,50.0,6.0,6.0,3.0,0,56.2,-0.5,-4.0,10.0,0.0,7.0,6.0,0.0,6.5,20,17,1.0,5.6,,ParsMi00
6,0.0,2.0,2.0,100.0,28.0,14.0,14.0,0,118.7,0.0,0.0,28.0,2.0,2.0,1.0,0.0,2.0,5,17,3.0,15.0,,RobiTa00
0,1.0,4.0,3.0,75.0,56.0,18.7,14.0,0,77.1,11.0,37.0,19.0,1.0,0.0,0.0,0.0,0.0,0,17,0.0,0.0,,RolaCh00
1,0.0,8.0,7.0,87.5,63.0,9.0,7.9,2,139.1,8.8,50.0,13.0,0.0,0.0,0.0,0.0,0.0,0,17,1.0,5.6,,TampTJ00
7,0.0,1.0,1.0,100.0,2.0,2.0,2.0,0,79.2,-1.0,-1.0,3.0,0.0,3.0,3.0,1.0,1.5,8,17,3.0,15.0,,TurnKo00
